rank	word	en	ru	ex1	ex2
592	գերմաներեն	German	немецкий	Նա գերմաներեն է սովորում — Он учит немецкий	գերմաներեն խոսել — говорить по-немецки
593	հայրենիք	fatherland	родина	հայրենիքը պաշտպանել — защищать родину	պատմական հայրենիք — историческая родина
594	խորհուրդ	advice	совет	Նա ինձ լավ խորհուրդ տվեց — Он дал мне хороший совет	Խորհուրդ եմ տալիս հանգստանալ — Советую отдохнуть
595	թռչուն	bird	птица	Թռչունները երգում են — Птицы поют	չվող թռչուններ — перелётные птицы
596	փիղ	elephant	слон	Կենդանաբանական այգում փիղ տեսանք — В зоопарке мы видели слона	
597	գրեթե	almost	почти	Գրեթե ամեն օր — Почти каждый день	Գրեթե պատրաստ է — Почти готово
598	տնօրեն	director	директор	դպրոցի տնօրեն — директор школы	Տնօրենը զբաղված է — Директор занят
599	քայլել	to walk	ходить, шагать	Նա արագ է քայլում — Он быстро ходит	Սիրում եմ քայլել — Люблю ходить пешком
600	բնություն	nature	природа	գեղեցիկ բնություն — красивая природа	բնության գրկում — на лоне природы
601	տասներկու	twelve	двенадцать	Ժամը տասներկուսն է — Сейчас двенадцать часов	Նա տասներկու տարեկան է — Ему двенадцать лет
602	շնորհակալություն	gratefulness, thankfulness	благодарность	Շնորհակալություն օգնության համար — Спасибо за помощь	Մեծ շնորհակալություն բոլորին — Большое спасибо всем
603	պար	dance	танец	Հայկական պարերը գեղեցիկ են — Армянские танцы красивые	Ազգային պար են պարում — Танцуют национальный танец
604	պատ	wall	стена	Պատերը սպիտակ ներկեցինք — Мы покрасили стены в белый цвет	Նկարը կախված է պատից — Картина висит на стене
